"amount_lamport","amount_usd","is_sell","user","timestamp_unix","tx_hash","log_index","pool","fees","fees_usd","quote_mint","base_mint","quote_amount","base_amount"
2348901370,354,1,"FEdepprC3WV4xwaaox3NpsmSKDg4xSHsQn86LA8RAKPD",1749320461,"3Dwko3UowfMnrBsf5jxhWmTTiXXa21LTqaUsFKdUGS5ac9yuA67L4HYNWYWTTzwKNpaKXtedaKS3yDxFyjdjfHvq",39,"8rTnsruneAmBLzc9WvDRrG477Tzr5gbpTE8Fm4n7FpYn",7046705,1.06,"So11111111111111111111111111111111111111112","Cy7iVaPkPyjHF3qe1qNNGvRtMMSSf5Vxbbi9ArLjpump",2348901370,591083000000
4467077416,673.23,0,"ZS9xZmLQ8CSCEHXQrgiWSCZpPvKuMu6dQHDq1HTouMK",1749320459,"3Dwq668sJpiUyBEtoAsMxwkP8FC4ra9TP8zTky1pX3GbR412AsVJy1p8y6XQ9F8F65d7D6YLtDLR4Rpc6cLPJJeM",35,"A6iCpjATRCvYshjAdAg8dnsDHopudfMmGXT9gUYpnuyU",7466514954,1125.28,"2ghRoZDfTzh5LhpVSDLfbb7q5v9M7P73QGKAtg1TEeQb","So11111111111111111111111111111111111111112",2986605981375,4467077416
86200572,12.99,1,"61asRCC4YTjyDMqMmvUsT2SZs2EsVCgU8tQGSDXHGjMV",1749320462,"3E13tDJxSHsZxh12VetSxRRa3f9pnDGegcC8fsuXm93KgikQe1uHQ6ZWnQDb668VefUT4qY1riwM9MBgFaHQS5q4",45,"yEyua52wQzbAFnC6ZyeEfNFTwCRbDzJf7yDJSeu8Hzf",210273257,31.69,"FNyKYLKDsTW5Dm7TPXa3fy6iwehh8ZFQ1FB4Wt37cddE","So11111111111111111111111111111111111111112",84109302199,86200572
75139214,11.32,0,"C3UUYoKWDVU1tte4VgycjmQKUvfkstS1HGjbAxTPXqzH",1749320462,"3E13tDJxSHsZxh12VetSxRRa3f9pnDGegcC8fsuXm93KgikQe1uHQ6ZWnQDb668VefUT4qY1riwM9MBgFaHQS5q4",90,"yEyua52wQzbAFnC6ZyeEfNFTwCRbDzJf7yDJSeu8Hzf",183286948,27.62,"FNyKYLKDsTW5Dm7TPXa3fy6iwehh8ZFQ1FB4Wt37cddE","So11111111111111111111111111111111111111112",73314778668,75139214
97304569,14.66,1,"KFXEsUBLLJg1gbPVKqskCzAq8p74bCkqadsF3HeeZyB",1749320464,"3E4kyAqXKPasgze5yh5LbWadYq85rcv4GdCd515qwKhCfBkVaRuvB37kneiy7y2qd5TyA7FvaN1rTVFPp4HViFp1",43,"DetBzNeyFiXcmi2B5WhiQfZT6mZwnJW7QA1ExuB4jBed",1954362767,294.54,"5oLaJW8ZSzRwGVWQf94oeCrRLdBMUkRvikeK5Syadz9Z","So11111111111111111111111111111111111111112",781745106424,97304569
1887312586,284.44,1,"9RAP9nNjEwQGGNNxA9CsUgjst7dRi4c3PqBmggrSkoQh",1749320460,"3E5ddbd7KhXjU8iqX5kPucnsMhYXXNqeMYpwQrajVXgunq5f83QYUPzLPR6DLuqnNGxT16CyZ1FvNAQdTDUAFy7p",39,"8rTnsruneAmBLzc9WvDRrG477Tzr5gbpTE8Fm4n7FpYn",5661940,0.85,"So11111111111111111111111111111111111111112","Cy7iVaPkPyjHF3qe1qNNGvRtMMSSf5Vxbbi9ArLjpump",1887312586,538489000000
6305693270,950.33,0,"5jog1ep2RDGaiTe5B6yzfMQVXARoF1w5HxLNd7CkJd8W",1749320463,"3ELAGAqjDG6StRgxNynCZitxTXscgJd31qhRi2V6qSwxq97gfyGZDrjsR53iQUNqa6h5J8AQiKGSH6EA4mTAZ7uL",35,"A6iCpjATRCvYshjAdAg8dnsDHopudfMmGXT9gUYpnuyU",7144856478,1076.8,"2ghRoZDfTzh5LhpVSDLfbb7q5v9M7P73QGKAtg1TEeQb","So11111111111111111111111111111111111111112",2857942590550,6305693270
18745090,2.83,1,"GQyhjGUknLLR4MEmQDRa1x1GWk7Gq8vqrP3diopCEwWB",1749320464,"3ETgSDQxCSNuP1zTCmwfoD8H3vabEhMuRCzdo2JqQzNYcdU89o5PDXXY8tyjfejt37SZPFxUqPmNCkHj61HFVQA4",45,"B8etKk6p33jLnzWTNLnN6Nvzrg54YXvuYQkpwyvcghA5",116367578,17.54,"8Hx32p5mJdszpzDz4ASaBPNo8d58eWYSLgPpj3jFnyTk","So11111111111111111111111111111111111111112",46547030854,18745090
17906322,2.7,0,"CuB9e8pq8cpvNMGVJ2GfWZzmn9wnWKX7tqEHXxnc4PBp",1749320464,"3ETgSDQxCSNuP1zTCmwfoD8H3vabEhMuRCzdo2JqQzNYcdU89o5PDXXY8tyjfejt37SZPFxUqPmNCkHj61HFVQA4",90,"B8etKk6p33jLnzWTNLnN6Nvzrg54YXvuYQkpwyvcghA5",111160248,16.75,"8Hx32p5mJdszpzDz4ASaBPNo8d58eWYSLgPpj3jFnyTk","So11111111111111111111111111111111111111112",44464098506,17906322
465099,0.07,0,"6PcUiQAxREC5uUQBQLxPyXEHGt7kC9LjqBrusZsaQhz6",1749320464,"3Eis67z15g8Suf8eibb6cgDECMv9o1rWR8Td3uDVvMobBjM8kMpLDz9ZLtUXuxzihGKcGyzv1GErr4drjL6JEWm6",51,"ESs7CFTgJuHKFxwu5Y7qerndWYnHQjbaj9u7rUinHbaV",1397,0,"So11111111111111111111111111111111111111112","EdkMbLbaHZNUSez4Z36t8fZbHwtQ4Wt34Q4YLx2ipump",465099,61399379
28531880,4.3,1,"h19mFG43AcMmdRMF82q5ke2bhTrgF2moETXfSHtCfgd",1749320462,"3EoJYsQNtPKJsjtDx5bfqDRmtzm2S1o8sqtJpJKJyZv721GAdJKDL9DzpWYwmctQb56TxRE9T9WXi6EeRmrc2Gkr",45,"37mETtTck2ha4n1X5zc9zh9me35RbC2fBXfc1GpCxDa1",82812417,12.48,"4gFy2jSh2WPFS2dTYzuhGowiuCf82JVBhYuGjgZvUoLA","So11111111111111111111111111111111111111112",33124966283,28531880
11872897,1.79,0,"HjZkDjUmVm8oxxwraNyeHsPjXL4wwdr5TXRJYphSv5fk",1749320462,"3EoJYsQNtPKJsjtDx5bfqDRmtzm2S1o8sqtJpJKJyZv721GAdJKDL9DzpWYwmctQb56TxRE9T9WXi6EeRmrc2Gkr",90,"37mETtTck2ha4n1X5zc9zh9me35RbC2fBXfc1GpCxDa1",34459198,5.19,"4gFy2jSh2WPFS2dTYzuhGowiuCf82JVBhYuGjgZvUoLA","So11111111111111111111111111111111111111112",13783678523,11872897
4533482959,683.24,1,"3LJoU96ivp18rgPDvMvRfa6GjPsxi2S3KiAyy9rZHUqx",1749320465,"3FUX42Koo2cAUoED7GGfE5tdUjdktwUsgmnjTDudASvmj7XmYCkbtCHnEpfmsMHFKpPMzWMQfUcc3qQWmn4UMYD5",41,"A6iCpjATRCvYshjAdAg8dnsDHopudfMmGXT9gUYpnuyU",5862910703,883.6,"2ghRoZDfTzh5LhpVSDLfbb7q5v9M7P73QGKAtg1TEeQb","So11111111111111111111111111111111111111112",2345164280906,4533482959
